9 5285 24317
0 101 0.484745 -0.0793217
1 101 0.347215 -0.0069825
0 102 0.37574 -0.0732085
1 102 0.355528 0.0217494
0 103 -0.176416 -0.0721897
1 103 -0.295609 -0.00494478
0 103 -0.174379 -0.0721897
0 104 0.374721 -0.0681142
1 104 -0.0598779 0.103626
0 105 0.297297 -0.0670954
1 105 0.358421 0.018489
0 106 0.304428 -0.0670954
1 106 0.289514 0.162303
0 107 0.308503 -0.0670954
1 107 0.194404 0.00218725
0 108 0.48882 -0.0630199
1 108 0.432104 -0.193336
0 109 0.295259 -0.062001
1 109 -0.457662 -0.154462
0 110 0.485763 -0.062001
1 110 0.277895 -0.144744
0 111 -0.172342 -0.0609822
1 111 -0.243001 -0.0251997
0 112 0.308503 -0.0609822
1 112 -0.231207 0.127796
0 113 0.324803 -0.0609822
1 113 0.283034 -0.116001
0 114 0.333971 -0.0599633
1 114 0.212742 0.00952307
0 115 0.308503 -0.0558879
1 115 0.274885 0.033772
0 105 0.486782 -0.0528313
0 116 0.48067 -0.0518124
1 116 -0.41761 0.155346
0 117 -0.467776 -0.0385672
1 117 0.181161 0.0786019
0 118 0.404264 -0.0385672
1 118 0.187412 0.0337802
0 119 0.438901 -0.0385672
1 119 0.307484 0.0296965
0 18 0.47252 -0.0385672
0 120 0.294241 -0.0375484
1 120 0.180957 0.0278626
0 121 -0.542143 -0.0365295
1 121 0.345259 -0.0926892
0 122 0.275903 -0.0365295
1 122 0.164861 0.0317342
0 123 0.510213 -0.0365295
1 123 0.345177 -0.222981
0 124 0.440939 -0.0355106
1 124 0.31054 0.0315305
0 125 0.487801 -0.0355106
1 125 0.255529 -0.0882877
0 126 -0.364883 -0.0344918
1 126 -0.48652 0.0320196
0 127 0.436864 -0.0344918
1 127 0.305447 0.0368286
0 128 0.275903 -0.0324541
1 128 -0.0332227 0.0716329
0 129 0.390002 -0.0324541
1 129 0.278756 -0.144529
0 130 0.400189 -0.0314352
1 130 0.212409 -0.191224
0 131 0.437883 -0.0314352
1 131 0.307484 0.0398851
0 132 -0.428045 -0.0212466
1 132 0.479243 -0.260679
0 133 0.486782 -0.0202277
1 133 0.184217 -0.0609822
0 134 0.48882 -0.0171711
1 134 0.360459 0.0531303
0 135 0.276922 -0.0151334
1 135 0.406755 -0.0809401
0 136 0.408339 -0.0141145
1 136 0.255528 -0.176114
0 99 0.300353 0.0123759
0 137 0.303409 0.0133947
1 137 0.324721 0.0408225
0 138 0.35944 0.0144136
1 138 0.232098 0.0826773
0 139 0.297297 0.018489
1 139 0.261641 -0.207698
0 140 0.104755 0.0205268
1 140 -0.0643226 0.224981
0 141 0.534663 0.0388663
1 141 0.408339 0.107334
0 142 0.45622 0.0429417
1 142 0.323784 0.111205
0 143 0.508176 0.0439606
1 143 0.371665 -0.0171711
0 144 0.534663 0.0439606
1 144 0.405894 0.113447
0 112 0.538738 0.0459983
0 145 0.451126 0.048036
1 145 0.316653 0.11467
0 146 0.518363 0.048036
1 146 0.386946 0.117319
0 147 0.525494 0.048036
1 147 0.397133 0.117319
0 148 -0.464719 0.0500738
1 148 0.206494 0.00525861
0 149 0.333971 0.0531303
1 149 0.211723 0.119356
0 150 0.5367 0.0531303
1 150 0.40732 0.121394
0 151 -0.0765801 0.0582247
1 151 -0.184566 0.118337
0 152 0.513269 0.0602624
1 152 0.383889 0.127507
0 153 0.393058 0.0786019
1 153 0.264697 0.144828
0 154 0.381852 0.0816585
1 154 0.185358 0.0921731
0 155 0.429733 0.0826773
1 155 0.299334 0.149922
0 156 0.494932 0.0836962
1 156 0.366571 0.150941
0 157 0.107811 0.0847151
1 157 -0.0358306 0.149922
0 158 0.136336 0.0847151
1 158 0.377181 0.110894
0 159 0.200517 0.0847151
1 159 0.328878 -0.329147
0 160 0.486782 0.0847151
1 160 0.358421 0.152979
0 161 0.192367 0.0867528
1 161 0.0507621 0.152979
0 162 0.412414 0.0867528
1 162 -0.246709 0.0195079
0 163 0.188292 0.0877716
1 163 0.0501509 0.152571
0 164 0.408339 0.0877716
1 164 -0.166143 -0.202632
0 165 0.193385 0.092866
1 165 0.295259 0.0521115
0 166 0.395096 0.092866
1 166 0.268772 0.160111
0 167 0.402227 0.092866
1 167 0.274885 0.159092
0 168 -0.00119353 0.0938848
1 168 -0.129555 0.158073
0 169 0.398152 0.0949037
1 169 0.272847 0.162149
0 170 0.195423 0.0969414
1 170 0.0619682 0.162149
0 171 0.184217 0.099998
1 171 0.0415935 0.166224
0 172 0.082343 0.112224
1 172 -0.0582429 0.177431
0 173 -0.417857 0.115281
1 173 -0.543162 0.174375
0 174 0.160786 0.121394
1 174 0.0181625 0.18762
0 175 0.148561 0.12547
1 175 0.00593764 0.191696
0 176 -0.447401 0.130564
1 176 0.194404 -0.255789
0 177 -0.481019 0.139734
1 177 0.188292 0.092866
0 178 0.0456684 0.15196
1 178 -0.311142 0.149261
0 179 0.174029 0.153998
1 179 0.035481 0.217371
0 180 -0.442307 0.159092
1 180 -0.183344 -0.124967
0 181 0.105774 0.180488
1 181 -0.0361566 0.0760344
0 182 0.0884554 0.186601
1 182 -0.0378681 0.247733
0 183 0.321543 -0.309584
1 183 0.477874 -0.260239
0 184 0.51225 -0.309584
1 184 0.374012 -0.216224
0 9 0.31543 -0.308362
0 185 0.500026 -0.308362
1 185 -0.199872 -0.200379
0 186 0.492691 -0.307139
1 186 0.405405 -0.171916
0 187 0.525698 -0.303471
1 187 0.275783 -0.0961516
0 188 0.314208 -0.283909
1 188 -0.206979 -0.189359
0 189 0.355772 -0.282687
1 189 0.214779 -0.202604
0 190 0.32032 -0.281464
1 190 0.30239 -0.0507936
0 191 0.498803 -0.280241
1 191 -0.395978 -0.0940389
0 192 -0.0574278 -0.276573
1 192 -0.167452 -0.201993
0 193 0.322765 -0.274128
1 193 0.194404 -0.194453
0 194 0.38389 -0.26557
1 194 0.239229 -0.184264
0 195 0.52203 -0.264347
1 195 0.337435 -0.115186
0 188 -0.101437 -0.263124
0 196 0.507361 -0.261902
1 196 0.345992 -0.17754
0 197 0.393669 -0.258234
1 197 0.247379 -0.177132
0 30 -0.0831001 -0.252121
0 198 0.402227 -0.252121
1 198 0.25451 -0.171019
0 199 0.467019 -0.252121
1 199 0.311763 -0.168982
0 200 0.470686 -0.252121
1 200 0.315634 -0.168982
0 201 0.480466 -0.252121
1 201 0.323988 -0.168982
0 202 -0.271363 -0.238672
1 202 -0.373563 -0.168982
0 203 -0.350824 -0.237449
1 203 0.228634 -0.0308239
0 204 -0.282365 -0.237449
1 204 -0.388721 -0.164091
0 205 -0.288478 -0.216664
1 205 -0.397279 -0.144529
0 206 0.35455 -0.216664
1 206 0.327655 0.112713
0 207 0.492691 -0.215442
1 207 0.226774 -0.240661
0 208 0.519585 -0.215442
1 208 0.354346 0.0215456
0 209 -0.342267 -0.198325
1 209 -0.453513 -0.127412
0 210 -0.0207532 -0.198325
1 210 -0.00512304 0.158388
0 211 -0.00119353 -0.198325
1 211 -0.109995 -0.127412
0 212 -0.042758 -0.195879
1 212 -0.150337 -0.126189
0 213 0.467019 -0.183653
1 213 0.38563 0.11512
0 214 0.367997 -0.182431
1 214 0.248194 -0.11274
0 215 0.33988 -0.181208
1 215 0.185236 -0.231132
0 216 0.449904 -0.179985
1 216 -0.21411 -0.180189
0 217 0.485356 -0.168982
1 217 -0.0659852 0.232043
0 218 0.495136 -0.168982
1 218 0.345259 -0.345041
0 219 -0.119775 -0.167759
1 219 0.455283 -0.229135
0 220 0.0122538 -0.167759
1 220 -0.0977699 -0.0980687
0 221 -0.298258 -0.165314
1 221 -0.402169 -0.0968461
0 222 0.323988 -0.165314
1 222 0.280712 -0.14404
0 223 0.407117 -0.165314
1 223 0.058912 0.157054
0 144 -0.12711 -0.162868
0 224 0.36922 -0.162868
1 224 0.249905 -0.0941563
0 225 -0.00486096 -0.15431
1 225 -0.11733 -0.0846198
0 226 0.348437 -0.15431
1 226 0.223499 -0.082419
0 227 0.360662 -0.140861
1 227 0.434745 -0.224734
0 228 0.0049189 -0.139638
1 228 -0.104086 -0.0711708
0 229 0.353327 -0.139638
1 229 0.229367 -0.0706817
0 230 -0.0953249 -0.137193
1 230 -0.20596 -0.0691331
0 231 0.00369647 -0.13597
1 231 -0.105105 -0.0670954
0 232 0.319098 -0.123744
1 232 0.261641 0.137696
0 233 -0.358159 -0.122521
1 233 -0.459626 -0.0564992
0 234 0.480466 -0.122521
1 234 -0.183888 -0.126575
0 235 -0.363049 -0.121299
1 235 -0.462682 -0.0813594
0 236 0.447459 -0.118854
1 236 -0.447522 -0.167139
0 48 0.523253 -0.117631
0 237 -0.358159 -0.10785
1 237 -0.460848 -0.0418276
0 238 -0.00852839 -0.10785
1 238 -0.110797 -0.146857
0 239 0.319098 -0.106627
1 239 0.16847 0.0103291
0 240 0.31543 -0.105405
1 240 0.198072 -0.036937
0 241 -0.201681 -0.102959
1 241 -0.31635 -0.0398714
0 242 0.479243 -0.0944008
1 242 0.245504 0.099509
0 89 0.36922 -0.0931782
0 243 0.481688 -0.0931782
1 243 0.381934 -0.122032
0 244 0.308095 -0.0919556
1 244 0.364533 -0.218906
0 245 0.393669 -0.0919556
