13 10041 50032
1 100 0.0517512 -0.258864
0 101 0.336938 -0.248269
1 101 0.208604 -0.257322
0 102 0.230957 -0.247305
1 102 0.105706 -0.2579
0 103 0.260824 -0.247305
1 103 0.135573 -0.2579
0 104 0.156769 -0.246342
1 104 0.024774 -0.255974
0 105 0.234811 -0.246342
1 105 0.110523 -0.255974
0 106 0.151952 -0.244416
1 106 0.0199567 -0.254048
0 107 0.167368 -0.244416
1 107 0.0363357 -0.254048
0 108 0.269495 -0.244416
1 108 0.143281 -0.255011
0 109 0.148098 -0.243453
1 109 0.0161028 -0.253084
0 110 0.154843 -0.243453
1 110 0.0228471 -0.253084
0 111 0.190491 -0.243453
1 111 0.0633128 -0.253084
0 112 0.229993 -0.24249
1 112 0.105706 -0.253084
0 113 0.305144 -0.24249
1 113 0.177966 -0.253084
0 114 0.339829 -0.24249
1 114 0.213229 -0.252699
0 115 0.196272 -0.241526
1 115 0.0710206 -0.252121
0 116 0.169295 -0.240563
1 116 0.0398042 -0.250388
0 117 0.344646 -0.240563
1 117 0.217468 -0.250195
0 118 0.151952 -0.2396
1 118 0.0209202 -0.249232
0 119 0.223249 -0.2396
1 119 0.0999247 -0.250388
0 120 0.163514 -0.238637
1 120 0.0334453 -0.248269
0 121 0.158696 -0.237674
1 121 0.0276645 -0.247305
0 122 0.194345 -0.23671
1 122 0.0675521 -0.24692
0 123 0.227103 -0.23671
1 123 0.102815 -0.246342
0 124 0.234811 -0.23671
1 124 0.111486 -0.247305
0 125 0.236737 -0.23671
1 125 0.113413 -0.246342
0 126 0.239628 -0.23671
1 126 0.116304 -0.247305
0 127 0.221322 -0.235747
1 127 0.0970343 -0.245379
0 128 0.22903 -0.235747
1 128 0.104742 -0.245379
0 129 0.349463 -0.235747
1 129 0.222478 -0.245764
0 130 0.194345 -0.233821
1 130 0.0681302 -0.243453
0 131 0.189527 -0.232858
1 131 0.0629275 -0.242297
0 132 0.211687 -0.232858
1 132 0.0873996 -0.243453
0 133 0.225176 -0.232858
1 133 0.101852 -0.24249
0 134 0.235774 -0.232858
1 134 0.11245 -0.24249
0 135 0.195308 -0.231895
1 135 0.0700571 -0.241526
0 136 0.200126 -0.231895
1 136 0.0744891 -0.242297
0 137 0.204943 -0.231895
1 137 0.0806553 -0.24249
0 138 0.23192 -0.229968
1 138 0.108596 -0.238637
0 139 0.3485 -0.229968
1 139 0.221322 -0.238829
0 140 0.35139 -0.229968
1 140 0.224212 -0.2396
0 141 0.20687 -0.229005
1 141 0.0835457 -0.238637
0 142 0.233847 -0.228042
1 142 0.110523 -0.238637
0 143 0.237701 -0.228042
1 143 0.114377 -0.23671
0 144 0.25119 -0.228042
1 144 0.126902 -0.237674
0 145 0.150025 -0.227079
1 145 0.0189932 -0.237674
0 146 0.193381 -0.227079
1 146 0.0690937 -0.23671
0 147 0.203016 -0.227079
1 147 0.0796918 -0.23671
0 148 0.224212 -0.227079
1 148 0.101081 -0.236518
0 143 0.235774 -0.227079
0 149 0.161587 -0.226116
1 149 0.0334453 -0.23671
0 150 0.219395 -0.226116
1 150 0.0960708 -0.235747
0 151 0.175075 -0.225152
1 151 0.0478973 -0.234784
0 152 0.20687 -0.225152
1 152 0.0835457 -0.234784
0 153 0.225176 -0.225152
1 153 0.102237 -0.234206
0 154 0.229993 -0.225152
1 154 0.107632 -0.234784
0 155 0.235774 -0.225152
1 155 0.113413 -0.234784
0 156 0.238664 -0.225152
1 156 0.116111 -0.235362
0 157 0.286838 -0.225152
1 157 0.163514 -0.234784
0 158 0.35139 -0.225152
1 158 0.225176 -0.234784
0 159 0.167368 -0.224189
1 159 0.038648 -0.234206
0 160 0.194345 -0.224189
1 160 0.0700571 -0.233821
0 161 0.223249 -0.224189
1 161 0.0999247 -0.233821
0 162 0.228066 -0.224189
1 162 0.105706 -0.233821
0 163 0.343683 -0.224189
1 163 0.216505 -0.233821
0 164 0.347537 -0.224189
1 164 0.220358 -0.232858
0 165 0.143281 -0.223226
1 165 0.0112855 -0.232858
0 166 0.190491 -0.223226
1 166 0.0623494 -0.233821
0 167 0.196272 -0.223226
1 167 0.0729476 -0.233821
0 168 0.203016 -0.223226
1 168 0.0796918 -0.232858
0 169 0.210724 -0.222263
1 169 0.0883631 -0.231895
0 170 0.234811 -0.222263
1 170 0.113413 -0.231895
0 171 0.238664 -0.222263
1 171 0.117267 -0.231895
0 172 0.329231 -0.222263
1 172 0.203016 -0.231895
0 173 0.207833 -0.2213
1 173 0.0854727 -0.230931
0 174 0.230957 -0.2213
1 174 0.106669 -0.230931
0 175 0.245409 -0.2213
1 175 0.123048 -0.230931
0 176 0.18182 -0.220336
1 176 0.0571467 -0.229583
0 177 0.200126 -0.220336
1 177 0.0768014 -0.229583
0 178 0.214578 -0.220336
1 178 0.0931804 -0.229968
0 179 0.219395 -0.220336
1 179 0.0970343 -0.229968
0 180 0.228066 -0.220336
1 180 0.104742 -0.229968
0 181 0.332121 -0.220336
1 181 0.205906 -0.229968
0 182 0.343683 -0.220336
1 182 0.216505 -0.229968
0 183 0.169295 -0.219373
1 183 0.0409604 -0.228427
0 184 0.248299 -0.219373
1 184 0.126902 -0.229005
0 185 0.335011 -0.219373
1 185 0.208797 -0.229005
0 186 0.18471 -0.21841
1 186 0.057532 -0.229005
0 187 0.188564 -0.21841
1 187 0.0642763 -0.228042
0 188 0.205906 -0.21841
1 188 0.0835457 -0.228042
0 189 0.207833 -0.21841
1 189 0.0864361 -0.228042
0 190 0.233847 -0.21841
1 190 0.11245 -0.228042
0 191 0.241555 -0.21841
1 191 0.119194 -0.228042
0 192 0.25119 -0.21841
1 192 0.131719 -0.228042
0 192 0.25408 -0.21841
0 193 0.177966 -0.217447
1 193 0.0527147 -0.227079
0 194 0.180856 -0.217447
1 194 0.0556051 -0.227079
0 195 0.197235 -0.217447
1 195 0.073911 -0.227079
0 196 0.211687 -0.217447
1 196 0.0883631 -0.226116
0 197 0.226139 -0.217447
1 197 0.103779 -0.227079
0 198 0.25697 -0.217447
1 198 0.13461 -0.227079
0 199 0.277203 -0.217447
1 199 0.153879 -0.227079
0 200 0.34561 -0.217447
1 200 0.221322 -0.226116
0 201 0.237701 -0.216484
1 201 0.116304 -0.226116
0 198 0.258897 -0.216484
0 202 0.342719 -0.216484
1 202 0.216505 -0.226116
0 203 0.214578 -0.215521
1 203 0.0912535 -0.225152
0 204 0.23192 -0.215521
1 204 0.110523 -0.225152
0 205 0.350427 -0.215521
1 205 0.225176 -0.225152
0 206 0.142317 -0.214557
1 206 0.010322 -0.224189
